_id,EOD_TIMESTAMP,EOD_INDEX_NAME,EOD_OPEN_INDEX_VAL,EOD_CLOSE_INDEX_VAL,EOD_HIGH_INDEX_VAL,EOD_LOW_INDEX_VAL,EOD_PREV_CLOSE,TIMESTAMP,VIX_PTS_CHG,VIX_PERC_CHG,ALTERNATE_INDEX_NAME,createdAt,updatedAt,__v
64996b303c4faf0007f069a4,01-JAN-2013,INDIA VIX,14.95,13.69,14.95,13.64,14.95,2012-12-31T18:30:00.000Z,-1.2599999999999998,-8.42809364548495,INDIA VIX,2023-06-26T10:40:48.650Z,2023-06-26T10:40:48.650Z,0
64996b3a583df60007d9b8bc,02-JAN-2013,INDIA VIX,13.69,13.71,13.91,12.99,13.69,2013-01-01T18:30:00.000Z,0.02000000000000135,0.14609203798393974,INDIA VIX,2023-06-26T10:40:58.695Z,2023-06-26T10:40:58.695Z,0
64996b44c504a400073793d5,03-JAN-2013,INDIA VIX,13.71,13.47,13.94,13.22,13.71,2013-01-02T18:30:00.000Z,-0.2400000000000002,-1.7505470459518613,INDIA VIX,2023-06-26T10:41:08.746Z,2023-06-26T10:41:08.746Z,0
64996b4e7f346a00085d3b23,04-JAN-2013,INDIA VIX,13.47,13.37,13.63,13.28,13.47,2013-01-03T18:30:00.000Z,-0.10000000000000142,-0.7423904974016438,INDIA VIX,2023-06-26T10:41:18.797Z,2023-06-26T10:41:18.797Z,0
64996b580715db000745551f,07-JAN-2013,INDIA VIX,13.37,13.92,14.04,13.37,13.37,2013-01-06T18:30:00.000Z,0.5500000000000007,4.113687359760664,INDIA VIX,2023-06-26T10:41:28.828Z,2023-06-26T10:41:28.828Z,0
64996b62c639690007a945c2,08-JAN-2013,INDIA VIX,13.92,13.27,14.06,13.21,13.92,2013-01-07T18:30:00.000Z,-0.6500000000000004,-4.66954022988506,INDIA VIX,2023-06-26T10:41:38.879Z,2023-06-26T10:41:38.879Z,0
64996b6c5f8da90007765dfe,09-JAN-2013,INDIA VIX,13.27,13.32,13.56,12.58,13.27,2013-01-08T18:30:00.000Z,0.05000000000000071,0.3767897513187695,INDIA VIX,2023-06-26T10:41:48.932Z,2023-06-26T10:41:48.932Z,0
64996b765f8da90007765e1f,10-JAN-2013,INDIA VIX,13.32,13.27,13.63,12.85,13.32,2013-01-09T18:30:00.000Z,-0.05000000000000071,-0.3753753753753807,INDIA VIX,2023-06-26T10:41:58.982Z,2023-06-26T10:41:58.982Z,0
64996b815eac8b00071e9586,11-JAN-2013,INDIA VIX,13.27,13.23,13.35,12.83,13.27,2013-01-10T18:30:00.000Z,-0.03999999999999915,-0.3014318010550049,INDIA VIX,2023-06-26T10:42:09.173Z,2023-06-26T10:42:09.173Z,0
64996b8b3c4faf0007f069c5,14-JAN-2013,INDIA VIX,13.23,13.7,14.02,13.22,13.23,2013-01-13T18:30:00.000Z,0.46999999999999886,3.552532123960687,INDIA VIX,2023-06-26T10:42:19.216Z,2023-06-26T10:42:19.216Z,0
64996b95b99c430007451931,15-JAN-2013,INDIA VIX,13.7,13.58,14,13.34,13.7,2013-01-14T18:30:00.000Z,-0.11999999999999922,-0.8759124087591185,INDIA VIX,2023-06-26T10:42:29.266Z,2023-06-26T10:42:29.266Z,0
64996b9f5baeaf0007beda15,16-JAN-2013,INDIA VIX,13.58,13.99,14.14,13.06,13.58,2013-01-15T18:30:00.000Z,0.41000000000000014,3.0191458026509586,INDIA VIX,2023-06-26T10:42:39.319Z,2023-06-26T10:42:39.319Z,0
